n_estimators,max_depth,class_weight,accuracy,precision,recall,f1,pr_auc
50,4.0,,0.6178,0.6012121212121212,0.18268876611418047,0.280225988700565,0.4864462852798858
100,6.0,balanced,0.59085,0.4965753424657534,0.33824432166973606,0.40239538450303075,0.4854779653086206
150,,balanced_subsample,0.57235,0.4615529589144365,0.30067526089625535,0.36413649542784926,0.4504488913459123
